Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?kodekelompok=896,1,0,50.8814179993351,50.8814179993351,50.8814179993351,50.8814179993351,150.0,0.00852348874891515,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/?kodekelompok=897,2,0,5.409503995906562,8.153965500241611,5.409503995906562,10.89842700457666,42.0,0.0170469774978303,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/?kodekelompok=898,2,0,6.08977200317895,32.12736200293875,6.08977200317895,58.164952002698556,42.0,0.0170469774978303,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/?kodekelompok=9,2,0,10,25.538471003528684,9.535031000268646,41.54191100678872,42.0,0.0170469774978303,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/?kodekelompok=900,2,0,11,13.79865800117841,10.667540002032183,16.929776000324637,42.0,0.0170469774978303,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/?kodekelompok=901,1,0,59.86061599833192,59.86061599833192,59.86061599833192,59.86061599833192,256.0,0.00852348874891515,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/?kodekelompok=902,1,0,42.38504399836529,42.38504399836529,42.38504399836529,42.38504399836529,42.0,0.00852348874891515,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/?kodekelompok=903,1,0,56.14619900006801,56.14619900006801,56.14619900006801,56.14619900006801,42.0,0.00852348874891515,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/?kodekelompok=904,1,0,23.473504996218253,23.473504996218253,23.473504996218253,23.473504996218253,42.0,0.00852348874891515,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/?kodekelompok=905,2,0,8,27.140350499394117,7.558545999927446,46.72215499886079,42.0,0.0170469774978303,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/?kodekelompok=906,1,0,50.461553997593,50.461553997593,50.461553997593,50.461553997593,150.0,0.00852348874891515,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/?kodekelompok=907,1,0,36.620693004806526,36.620693004806526,36.620693004806526,36.620693004806526,42.0,0.00852348874891515,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/?kodekelompok=908,1,0,6.1071570016792975,6.1071570016792975,6.1071570016792975,6.1071570016792975,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=911,1,0,7.586994994198903,7.586994994198903,7.586994994198903,7.586994994198903,150.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=914,2,0,7,62.69503249859554,6.578879998414777,118.8111849987763,42.0,0.0170469774978303,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/?kodekelompok=915,1,0,7.163597001635935,7.163597001635935,7.163597001635935,7.163597001635935,42.0,0.00852348874891515,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=917,1,0,8.438683005806524,8.438683005806524,8.438683005806524,8.438683005806524,256.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=919,1,0,31.45168300397927,31.45168300397927,31.45168300397927,31.45168300397927,150.0,0.00852348874891515,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/?kodekelompok=92,1,0,9.361354997963645,9.361354997963645,9.361354997963645,9.361354997963645,255.0,0.00852348874891515,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=921,2,0,6,31.714344000647543,5.984288000036031,57.444400001259055,42.0,0.0170469774978303,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/?kodekelompok=922,1,0,12.900166999315843,12.900166999315843,12.900166999315843,12.900166999315843,150.0,0.00852348874891515,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/?kodekelompok=923,3,0,10,21.540898332508124,5.401130998507142,49.70754800160648,114.0,0.02557046624674545,0.0,10,10,50,50,50,50,50,50,50,50,50
GET,/?kodekelompok=928,1,0,5.601587996352464,5.601587996352464,5.601587996352464,5.601587996352464,257.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=929,3,0,24,24.799885669684347,12.268830003449693,37.63922399957664,78.0,0.02557046624674545,0.0,24,24,38,38,38,38,38,38,38,38,38
