Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/?idfnf=71,1,0,5.876726001588395,5.876726001588395,5.876726001588395,5.876726001588395,69.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?idfnf=710,1,0,64.80879800074035,64.80879800074035,64.80879800074035,64.80879800074035,42.0,0.008466333650190255,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/?idfnf=711,1,0,26.45467199909035,26.45467199909035,26.45467199909035,26.45467199909035,69.0,0.008466333650190255,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/?idfnf=711,1,0,81.48073700067471,81.48073700067471,81.48073700067471,81.48073700067471,42.0,0.008466333650190255,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/?idfnf=712,1,0,25.638120001531206,25.638120001531206,25.638120001531206,25.638120001531206,42.0,0.008466333650190255,0.0,26,26,26,26,26,26,26,26,26,26,26
DELETE,/?idfnf=713,3,0,12,13.022913666645763,9.44321900169598,17.5062029993569,69.0,0.02539900095057077,0.0,12,12,18,18,18,18,18,18,18,18,18
GET,/?idfnf=713,1,0,15.179737001744797,15.179737001744797,15.179737001744797,15.179737001744797,42.0,0.008466333650190255,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,/?idfnf=714,2,0,9.319081997091416,50.92894199879083,9.319081997091416,92.53880200049025,69.0,0.01693266730038051,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/?idfnf=714,1,0,7.085958000971004,7.085958000971004,7.085958000971004,7.085958000971004,42.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=715,1,0,17.314111999439774,17.314111999439774,17.314111999439774,17.314111999439774,55.0,0.008466333650190255,0.0,17,17,17,17,17,17,17,17,17,17,17
DELETE,/?idfnf=716,1,0,9.331976001703879,9.331976001703879,9.331976001703879,9.331976001703879,69.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?idfnf=716,2,0,8.31599999946775,32.310866999978316,8.31599999946775,56.30573400048888,42.0,0.01693266730038051,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/?idfnf=717,3,0,38,36.79591500016007,14.166213000862626,58.00416300189681,64.33333333333333,0.02539900095057077,0.0,38,38,58,58,58,58,58,58,58,58,58
DELETE,/?idfnf=718,1,0,5.503254997165641,5.503254997165641,5.503254997165641,5.503254997165641,69.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=719,2,0,9.28210200072499,25.033854999492178,9.28210200072499,40.785607998259366,69.0,0.01693266730038051,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/?idfnf=72,1,0,23.14585900239763,23.14585900239763,23.14585900239763,23.14585900239763,69.0,0.008466333650190255,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/?idfnf=720,2,0,6,6.262203001824673,5.609037001704564,6.915369001944782,42.0,0.01693266730038051,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idfnf=721,1,0,30.064339000091422,30.064339000091422,30.064339000091422,30.064339000091422,42.0,0.008466333650190255,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/?idfnf=722,1,0,5.292770998494234,5.292770998494234,5.292770998494234,5.292770998494234,69.0,0.008466333650190255,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/?idfnf=723,4,0,7,13.929199499216338,5.876513998373412,34.995711997908074,42.0,0.03386533460076102,0.0,8,8,35,35,35,35,35,35,35,35,35
GET,/?idfnf=724,2,0,7,7.667485000638408,6.870296001579845,8.46467399969697,42.0,0.01693266730038051,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idfnf=725,1,0,6.923445002030348,6.923445002030348,6.923445002030348,6.923445002030348,42.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=727,1,0,29.273266001837328,29.273266001837328,29.273266001837328,29.273266001837328,69.0,0.008466333650190255,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/?idfnf=727,3,0,12,18.640450332895853,8.742230998905143,34.70455099886749,42.0,0.02539900095057077,0.0,12,12,35,35,35,35,35,35,35,35,35
DELETE,/?idfnf=728,1,0,14.467187000263948,14.467187000263948,14.467187000263948,14.467187000263948,69.0,0.008466333650190255,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/?idfnf=728,1,0,9.246156001609052,9.246156001609052,9.246156001609052,9.246156001609052,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=729,3,0,9,21.11086766550822,6.672736999462359,47.82941499797744,64.33333333333333,0.02539900095057077,0.0,9,9,48,48,48,48,48,48,48,48,48
GET,/?idfnf=729,1,0,9.058657000423409,9.058657000423409,9.058657000423409,9.058657000423409,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=73,1,0,124.26236800092738,124.26236800092738,124.26236800092738,124.26236800092738,55.0,0.008466333650190255,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/?idfnf=73,1,0,51.515482999093365,51.515482999093365,51.515482999093365,51.515482999093365,42.0,0.008466333650190255,0.0,52,52,52,52,52,52,52,52,52,52,52
DELETE,/?idfnf=730,4,0,6,20.645459250772547,5.525347001821501,48.48797900194768,69.0,0.03386533460076102,0.0,23,23,48,48,48,48,48,48,48,48,48
GET,/?idfnf=730,1,0,7.3411180019320454,7.3411180019320454,7.3411180019320454,7.3411180019320454,42.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=731,2,0,33.242632998735644,52.04379199858522,33.242632998735644,70.8449509984348,62.0,0.01693266730038051,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/?idfnf=732,1,0,15.722887001174968,15.722887001174968,15.722887001174968,15.722887001174968,42.0,0.008466333650190255,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,/?idfnf=733,2,0,10.425296000903472,11.253484999542707,10.425296000903472,12.081673998181941,69.0,0.01693266730038051,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/?idfnf=733,1,0,9.337066003354266,9.337066003354266,9.337066003354266,9.337066003354266,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=734,1,0,5.033299999922747,5.033299999922747,5.033299999922747,5.033299999922747,69.0,0.008466333650190255,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/?idfnf=735,2,0,10,23.92867600065074,9.588330001861323,38.269021999440156,69.0,0.01693266730038051,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/?idfnf=736,3,0,8,7.9654969995317515,5.541023998375749,9.991858001740184,42.0,0.02539900095057077,0.0,8,8,10,10,10,10,10,10,10,10,10
DELETE,/?idfnf=737,1,0,123.24351100323838,123.24351100323838,123.24351100323838,123.24351100323838,69.0,0.008466333650190255,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/?idfnf=737,3,0,45,73.58899533452738,8.998026001791004,166.359224000189,42.0,0.02539900095057077,0.0,45,45,170,170,170,170,170,170,170,170,170
DELETE,/?idfnf=738,1,0,33.39760199742159,33.39760199742159,33.39760199742159,33.39760199742159,69.0,0.008466333650190255,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/?idfnf=738,1,0,12.169348003226332,12.169348003226332,12.169348003226332,12.169348003226332,42.0,0.008466333650190255,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/?idfnf=739,1,0,8.411161001276923,8.411161001276923,8.411161001276923,8.411161001276923,69.0,0.008466333650190255,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/?idfnf=741,1,0,21.22127599795931,21.22127599795931,21.22127599795931,21.22127599795931,69.0,0.008466333650190255,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/?idfnf=741,1,0,10.208239997155033,10.208239997155033,10.208239997155033,10.208239997155033,42.0,0.008466333650190255,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/?idfnf=742,1,0,11.52145699961693,11.52145699961693,11.52145699961693,11.52145699961693,69.0,0.008466333650190255,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/?idfnf=742,2,0,10,32.560353000008035,9.921648001181893,55.19905799883418,42.0,0.01693266730038051,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/?idfnf=744,4,0,6,20.425748251000186,5.154546000994742,56.10986100145965,69.0,0.03386533460076102,0.0,14,14,56,56,56,56,56,56,56,56,56
DELETE,/?idfnf=745,1,0,5.554608000238659,5.554608000238659,5.554608000238659,5.554608000238659,69.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?idfnf=745,2,0,46,67.1108455007925,45.685642999160336,88.53604800242465,42.0,0.01693266730038051,0.0,89,89,89,89,89,89,89,89,89,89,89
DELETE,/?idfnf=746,2,0,6,17.98954650075757,5.509636001079343,30.469457000435796,62.0,0.01693266730038051,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/?idfnf=746,3,0,10,11.802722999467127,6.481682998128235,18.498171000828734,461.0,0.02539900095057077,0.0,10,10,18,18,18,18,18,18,18,18,18
